格式化站点编号,站点名称,等价站点,线路名称,线路方向,单程序号,经度,纬度,在主城区
016_U_10,渤海活塞,"['003_U_06', '003_U_07']",16,上行,10,117.9363,37.368494,True
016_D_05,通康医院,"['001_D_08', '006_U_41', '001_U_32', '030_U_45', '006_U_40']",16,下行,5,118.025504,37.384254,True
017_U_12,纺苑二区,[],17,上行,12,117.921006,37.379841,True
017_U_15,水清木华,"['106_U_05', '017_U_16', '009_U_31']",17,上行,15,117.937642,37.379847,True
017_U_16,华夏银行,['017_U_15'],17,上行,16,117.941358,37.379895,True
017_U_17,领域尚城,"['112_U_05', '102_U_07', '030_U_24', '017_U_18']",17,上行,17,117.947056,37.378176,True
017_U_18,纺苑小区,"['112_U_05', '030_U_24', '017_U_17']",17,上行,18,117.949033,37.376964,True
017_U_19,市自然资源规划局,"['030_U_25', '032_U_16', '017_U_20']",17,上行,19,117.956917,37.37695,True
017_U_20,齐鲁花园,"['032_U_18', '017_U_21', '017_U_19', '030_U_26', '107_U_10', '105_U_08']",17,上行,20,117.960159,37.376943,True
017_U_21,金融花园,"['032_U_18', '017_U_22', '017_U_20', '107_U_11', '030_U_26', '107_U_10', '105_U_08']",17,上行,21,117.962247,37.377948,True
017_U_22,市交通运输局,"['102_U_10', '032_U_18', '017_U_23', '017_U_21', '017_U_24', '030_U_26', '107_U_10']",17,上行,22,117.962194,37.380583,True
017_U_23,馨露佳园,"['102_U_10', '032_U_18', '017_U_22', '017_U_24', '030_U_26', '102_U_12']",17,上行,23,117.962249,37.381956,True
017_U_24,交通丽苑,"['102_U_10', '102_U_13', '017_U_23', '017_U_22', '017_U_25', '102_U_12', '102_U_09']",17,上行,24,117.962208,37.383729,True
017_U_25,阳光贵苑,"['102_U_13', '102_U_10', '017_U_26', '105_U_14', '017_U_24', '102_U_12', '102_U_09']",17,上行,25,117.962248,37.38625,True
017_U_26,银座中海店,"['017_U_27', '105_U_14', '006_U_27', '017_U_25', '102_U_12']",17,上行,26,117.963087,37.388111,True
017_U_27,实验学校,"['011_U_06', '102_U_13', '017_U_26', '011_U_07', '017_U_28']",17,上行,27,117.965835,37.388039,True
017_U_28,聚鑫园,"['011_U_08', '011_U_06', '017_U_27', '112_U_14', '017_U_29', '011_U_07']",17,上行,28,117.969339,37.388117,True
017_U_29,教育园,"['017_U_30', '102_U_17', '017_U_28', '006_U_28']",17,上行,29,117.973031,37.388135,True
017_U_30,翰墨园,"['102_U_17', '006_U_29', '017_U_29']",17,上行,30,117.975539,37.390118,True
017_U_31,翰文苑,['006_U_29'],17,上行,31,117.976205,37.394204,True
017_U_34,奥林水岸,"['011_U_02', '017_U_35']",17,上行,34,117.982505,37.39789,True
017_U_35,京学幼儿园,"['017_U_36', '017_U_34']",17,上行,35,117.984922,37.399144,True
017_U_36,韵和嘉苑,"['011_U_01', '017_U_37', '017_U_35']",17,上行,36,117.986445,37.402485,True
017_U_37,鲁北技师学院,"['017_U_36', '011_U_01']",17,上行,37,117.985649,37.40617,True
018_U_01,馨露鑫苑,"['031_U_22', '032_U_09', '031_U_21', '025_U_29']",18,上行,1,117.955207,37.355792,True
018_U_02,下坡李,[],18,上行,2,117.962986,37.352765,True
018_U_03,阳光城,[],18,上行,3,117.974778,37.352842,True
018_U_04,北孝居委会,['018_U_05'],18,上行,4,117.98001,37.352873,True
018_U_05,双湖贵苑,"['018_U_06', '018_U_04']",18,上行,5,117.983109,37.355153,True
018_U_06,市审计局,"['018_U_05', '018_U_07']",18,上行,6,117.983156,37.358404,True
018_U_07,军分区,"['018_U_06', '081_U_18']",18,上行,7,117.985014,37.359046,True
018_U_08,第八中学,[],18,上行,8,117.988894,37.35709,True
018_U_09,边检站,['018_U_10'],18,上行,9,117.992726,37.358757,True
018_U_10,南杨大集,"['018_U_09', '031_U_28', '081_U_19']",18,上行,10,117.9927,37.360956,True
018_U_11,东岳家园,"['111_U_05', '081_U_19', '031_U_28', '018_U_12']",18,上行,11,117.992615,37.365203,True
018_U_12,春晖都市花园,"['009_U_41', '031_U_28', '018_U_11', '029_U_17', '029_U_16']",18,上行,12,117.994131,37.366666,True
018_U_13,南杨居委会,"['031_U_29', '002_U_42', '009_U_42', '002_U_41', '029_U_17', '029_U_16']",18,上行,13,118.000482,37.36718,True
018_U_18,市特检所,"['005_U_66', '023_U_34', '005_U_67', '101_U_24', '101_U_25']",18,上行,18,118.010245,37.377553,True
018_U_19,颐园,"['023_U_33', '001_D_05', '001_D_04', '033_U_19']",18,上行,19,118.016736,37.378039,True
022_U_40,众成大厦,"['004_U_28', '001_D_06', '001_D_07', '033_U_18', '006_U_38']",22,上行,40,118.016797,37.385537,True
022_U_42,国医联合中医院,"['005_U_64', '030_U_41', '033_U_18', '005_U_65']",22,上行,42,118.011619,37.385044,True
023_U_27,胜滨小区东门,"['001_U_30', '023_U_28', '004_U_25', '004_U_26']",23,上行,27,118.024531,37.392022,True
023_U_28,姜家市场,"['001_U_31', '001_D_08', '023_U_27']",23,上行,28,118.0249,37.388435,True
023_U_33,剧场街市场农贸市场北门,"['018_U_19', '007_U_15', '001_D_04']",23,上行,33,118.01868,37.374607,True
023_U_34,滨州医学院,"['003_U_01', '018_U_18']",23,上行,34,118.012174,37.374115,True
024_U_11,闻鹊佳苑,"['024_U_12', '036_U_08']",24,上行,11,117.964175,37.417904,True
024_U_12,闻鹊佳苑北门,['024_U_11'],24,上行,12,117.965662,37.421365,True
024_U_13,喜鹊湖公园,[],24,上行,13,117.970324,37.421364,True
024_U_14,中医院西门,"['036_U_03', '024_U_15']",24,上行,14,117.981252,37.425518,True
024_U_15,中医院,"['036_U_03', '024_U_14', '033_U_06']",24,上行,15,117.982541,37.424628,True
024_U_16,车管所南,"['112_U_26', '024_U_17']",24,上行,16,117.99276,37.42374,True
024_U_17,职业学院西门,['024_U_16'],24,上行,17,117.994858,37.420425,True
024_U_19,市农村农业局,['026_U_50'],24,上行,19,118.002732,37.406374,True
024_U_23,安康花园,"['006_U_34', '005_U_61', '005_U_63', '006_U_35', '005_U_62']",24,上行,23,118.008103,37.393917,True
025_U_25,开发区一中,"['113_D_37', '025_U_26']",25,上行,25,117.94159,37.352759,True
025_U_26,荷兰风情村,"['032_U_11', '113_D_37', '025_U_27', '025_U_25']",25,上行,26,117.944633,37.35277,True
025_U_27,秦淮人家,"['032_U_11', '025_U_26']",25,上行,27,117.947902,37.352767,True
025_U_29,上海世家,"['031_U_22', '018_U_01']",25,上行,29,117.955478,37.358824,True
025_U_30,海通花园,"['010_U_38', '010_U_37', '025_U_31']",25,上行,30,117.955467,37.365784,True
025_U_31,马坊馨苑,"['009_U_35', '010_U_38', '010_U_37', '025_U_30']",25,上行,31,117.955483,37.369143,True
026_U_45,银座渤海店,"['026_U_46', '006_U_35', '006_U_36']",26,上行,45,118.012872,37.391259,True
026_U_46,区检察院宿舍,"['006_U_35', '026_U_47', '026_U_45', '006_U_36']",26,上行,46,118.012481,37.39387,True
026_U_47,颐馨园,"['026_U_46', '107_U_26']",26,上行,47,118.012145,37.39684,True
026_U_48,裕华苑,"['007_U_05', '005_U_59', '005_U_58']",26,上行,48,118.011629,37.401966,True
026_U_50,彭李农贸市场,"['026_U_51', '005_U_60', '024_U_19']",26,上行,50,118.004136,37.403168,True
026_U_51,麒麟阁南门,"['026_U_50', '113_U_25', '002_U_31']",26,上行,51,118.000342,37.402885,True
026_U_55,北海花园,"['007_U_04', '002_U_27']",26,上行,55,118.007873,37.410416,True
029_U_15,南杨大集东门,"['031_U_28', '031_U_29']",29,上行,15,117.997415,37.3606,True
029_U_16,南杨海鲜烧烤城,"['031_U_29', '031_U_28', '018_U_12', '029_U_17', '018_U_13']",29,上行,16,117.997531,37.365204,True
029_U_17,龙盛花苑,"['029_U_18', '009_U_42', '018_U_12', '018_U_13', '029_U_16']",29,上行,17,117.997579,37.367619,True
029_U_18,渤海花园,"['009_U_41', '009_U_42', '029_U_17']",29,上行,18,117.997668,37.370865,True
029_U_19,康家居委会,"['002_U_38', '002_U_39', '029_U_20', '081_U_24', '003_U_02', '101_U_22']",29,上行,19,118.000005,37.376883,True
029_U_20,人寿保险公司,"['029_U_19', '002_U_38', '002_U_39', '101_U_23']",29,上行,20,118.003822,37.377159,True
029_U_31,爱琴海购物公园,['002_U_30'],29,上行,31,117.993559,37.406206,True
029_U_32,河畔盛景,[],29,上行,32,117.987922,37.411851,True
030_U_24,市场监督管理局,"['102_U_07', '017_U_18', '017_U_17']",30,上行,24,117.949878,37.379878,True
030_U_25,市财政局,"['032_U_18', '103_U_07', '017_U_19', '030_U_26']",30,上行,25,117.956772,37.3799,True
030_U_26,市公路发展中心,"['030_U_25', '102_U_10', '032_U_18', '017_U_22', '017_U_23', '017_U_21', '017_U_20']",30,上行,26,117.960029,37.379934,True
030_U_28,市政广场,"['107_U_12', '011_U_10', '011_U_09']",30,上行,28,117.969079,37.379925,True
030_U_29,市政大楼东门,['032_U_21'],30,上行,29,117.973165,37.381078,True
030_U_30,黄河小区一区,"['102_U_17', '030_U_31']",30,上行,30,117.976042,37.384977,True
030_U_31,新滨公园东门,['030_U_30'],30,上行,31,117.977185,37.382337,True
030_U_32,许家居委会,['107_U_13'],30,上行,32,117.98136,37.38,True
030_U_33,山东航空学院,['030_U_34'],30,上行,33,117.986076,37.379991,True
030_U_34,马家小区,"['003_U_03', '030_U_35', '030_U_33']",30,上行,34,117.989694,37.379998,True
030_U_35,区教育和体育局,"['030_U_34', '003_D_05']",30,上行,35,117.992794,37.380009,True
030_U_36,全福元,"['030_U_37', '081_U_24', '002_U_37', '101_U_22']",30,上行,36,117.997832,37.381771,True
030_U_37,青藤源大饭店,"['032_U_28', '002_U_36', '030_U_38', '030_U_36']",30,上行,37,117.997906,37.384978,True
030_U_38,泰达燃气公司,"['002_U_35', '032_U_28', '030_U_37', '002_U_36', '030_U_39']",30,上行,38,117.99877,37.386526,True
030_U_39,菜刘家园,"['002_U_35', '030_U_38', '032_U_28', '106_U_26', '002_U_36']",30,上行,39,118.001827,37.386754,True
030_U_40,第六小学,"['005_U_64', '030_U_41', '005_U_63', '106_U_27']",30,上行,40,118.007084,37.387125,True
030_U_41,人民医院南门,"['005_U_64', '005_U_63', '022_U_42', '030_U_40', '005_U_65']",30,上行,41,118.011002,37.38746,True
030_U_45,金座豪庭,"['001_U_33', '016_D_05', '006_U_41', '004_U_32', '006_U_40']",30,上行,45,118.0257,37.380788,True
031_U_17,汽车总站东门,"['009_U_32', '031_U_18']",31,上行,17,117.940231,37.371217,True
031_U_18,公交发车区,['031_U_17'],31,上行,18,117.940272,37.369022,True
031_U_19,信达置业,[],31,上行,19,117.941653,37.362976,True
031_U_20,生龙欢乐世界,[],31,上行,20,117.947078,37.360156,True
031_U_21,馨露鑫苑北门,['018_U_01'],31,上行,21,117.95161,37.357056,True
031_U_22,吾悦华府,"['025_U_29', '018_U_01']",31,上行,22,117.958089,37.356996,True
031_U_23,泰山名郡南门,[],31,上行,23,117.973099,37.357075,True
031_U_24,双湖豪庭南门,[],31,上行,24,117.978832,37.357058,True
031_U_28,优抚医院,"['018_U_12', '018_U_10', '029_U_16', '018_U_11', '029_U_15']",31,上行,28,117.994475,37.363146,True
031_U_29,南杨南站,"['002_U_42', '029_U_16', '018_U_13', '029_U_15', '002_U_43']",31,上行,29,118.000181,37.363321,True
032_U_09,馨露鑫苑南门,['018_U_01'],32,上行,9,117.953078,37.352959,True
032_U_11,四季花城,"['025_U_26', '025_U_27']",32,上行,11,117.947197,37.355352,True
032_U_13,半岛蓝湾,[],32,上行,13,117.951441,37.362995,True
032_U_16,城市枫景,"['009_U_35', '017_U_19']",32,上行,16,117.955507,37.375419,True
032_U_18,市公路服务中心,"['030_U_25', '102_U_10', '017_U_23', '017_U_22', '017_U_21', '017_U_20', '030_U_26']",32,上行,18,117.959949,37.379962,True
