格式化上车站点编号,格式化下车站点编号,一天内刷卡数
002_U_29,002_U_33,1
002_U_29,003_U_05,1
002_U_29,003_U_07,1
002_U_29,005_U_67,1
002_U_29,006_U_29,2
002_U_29,009_U_47,1
002_U_29,011_U_05,1
002_U_29,017_U_37,1
002_U_29,018_U_35,1
002_U_29,026_D_47,1
002_U_29,029_U_31,1
002_U_29,102_U_08,1
002_U_29,102_U_17,1
002_U_29,105_U_14,3
002_U_29,105_U_36,1
002_U_29,105_U_40,3
002_U_29,111_U_35,1
002_U_29,112_U_21,3
002_U_30,001_D_02,2
002_U_30,001_D_03,3
002_U_30,001_D_04,3
002_U_30,001_D_05,10
002_U_30,001_D_06,22
002_U_30,001_U_12,1
002_U_30,001_U_17,1
002_U_30,002_U_09,1
002_U_30,002_U_10,2
002_U_30,002_U_13,1
002_U_30,002_U_26,5
002_U_30,002_U_27,1
002_U_30,002_U_29,1
002_U_30,002_U_31,2
002_U_30,002_U_33,2
002_U_30,002_U_34,1
002_U_30,002_U_35,3
002_U_30,002_U_36,3
002_U_30,002_U_41,1
002_U_30,003_U_05,1
002_U_30,006_U_29,1
002_U_30,006_U_40,1
002_U_30,009_U_33,1
002_U_30,009_U_46,1
002_U_30,009_U_47,1
002_U_30,016_U_10,7
002_U_30,017_U_37,2
002_U_30,022_U_40,1
002_U_30,022_U_42,2
002_U_30,024_U_12,1
002_U_30,024_U_15,1
002_U_30,026_U_50,1
002_U_30,031_U_24,1
002_U_30,036_U_28,1
002_U_30,102_U_08,2
002_U_30,105_U_23,1
002_U_30,106_U_06,3
002_U_30,106_U_07,2
002_U_30,106_U_09,6
002_U_30,106_U_10,1
002_U_30,106_U_15,2
002_U_30,111_U_35,1
002_U_30,112_U_20,1
002_U_30,112_U_26,1
002_U_30,112_U_27,1
002_U_30,112_U_28,2
002_U_31,001_D_05,1
002_U_31,001_U_20,1
002_U_31,002_U_10,1
002_U_31,002_U_26,2
002_U_31,002_U_29,4
002_U_31,002_U_32,2
002_U_31,002_U_33,1
002_U_31,009_U_31,1
002_U_31,011_U_10,1
002_U_31,016_U_10,1
002_U_31,022_U_42,1
002_U_31,029_U_31,1
002_U_31,032_U_16,1
002_U_31,036_U_28,1
002_U_31,102_U_13,1
002_U_31,106_U_14,1
002_U_32,001_D_02,5
002_U_32,001_D_03,1
002_U_32,001_D_05,8
002_U_32,001_D_06,7
002_U_32,001_U_12,1
002_U_32,001_U_16,1
002_U_32,002_U_13,2
002_U_32,002_U_14,1
002_U_32,002_U_33,1
002_U_32,002_U_35,1
002_U_32,002_U_37,3
002_U_32,003_U_06,2
002_U_32,009_U_31,2
002_U_32,016_U_10,1
002_U_32,017_U_37,2
002_U_32,022_U_40,2
002_U_32,022_U_42,4
002_U_32,024_U_13,1
002_U_32,106_U_06,2
002_U_32,106_U_10,1
002_U_32,106_U_11,2
002_U_32,106_U_26,1
002_U_33,001_D_02,1
002_U_33,001_D_05,6
002_U_33,001_D_06,2
002_U_33,001_U_16,1
002_U_33,001_U_21,2
002_U_33,001_U_27,1
002_U_33,001_U_29,2
002_U_33,002_U_30,3
002_U_33,002_U_35,1
002_U_33,002_U_37,2
002_U_33,012_U_13,1
002_U_33,016_U_10,2
002_U_33,017_U_20,1
002_U_33,106_U_09,1
002_U_33,106_U_14,1
002_U_33,107_U_26,1
002_U_33,107_U_40,1
002_U_34,001_D_05,2
002_U_34,001_U_27,1
002_U_34,002_U_01,1
002_U_34,002_U_31,1
002_U_34,002_U_39,1
002_U_34,009_U_33,1
002_U_34,012_U_13,3
002_U_34,016_U_10,1
002_U_34,017_U_19,1
002_U_34,106_U_10,1
002_U_34,106_U_13,1
002_U_34,107_U_12,2
002_U_34,107_U_40,1
002_U_35,001_D_02,3
002_U_35,001_D_05,3
002_U_35,001_D_06,2
002_U_35,002_U_14,2
002_U_35,002_U_30,1
002_U_35,002_U_32,2
002_U_35,003_U_06,1
002_U_35,012_U_13,1
002_U_35,016_U_10,2
002_U_35,017_U_37,1
002_U_35,029_U_31,1
002_U_35,036_U_17,1
002_U_35,106_U_07,1
002_U_35,106_U_09,1
002_U_35,106_U_11,2
002_U_35,107_U_12,3
002_U_35,107_U_25,1
002_U_35,107_U_26,1
002_U_36,001_D_06,1
002_U_36,001_U_16,1
002_U_36,002_U_14,1
002_U_36,002_U_27,1
002_U_36,002_U_31,1
002_U_36,002_U_32,1
002_U_36,002_U_37,2
002_U_36,002_U_42,1
002_U_36,003_U_03,2
002_U_36,003_U_05,1
002_U_36,003_U_06,2
002_U_36,022_U_40,2
002_U_36,029_U_31,2
002_U_36,105_U_23,1
002_U_36,106_U_14,1
002_U_36,107_U_11,1
002_U_36,107_U_26,1
002_U_37,001_U_27,1
002_U_37,001_U_29,2
002_U_37,002_U_27,2
002_U_37,002_U_30,3
002_U_37,002_U_31,1
002_U_37,002_U_32,3
002_U_37,002_U_34,3
002_U_37,002_U_36,1
002_U_37,003_D_05,1
002_U_37,003_U_03,2
002_U_37,003_U_05,2
002_U_37,012_U_13,1
002_U_37,016_U_10,2
002_U_37,036_U_17,1
002_U_37,107_U_11,1
002_U_37,107_U_13,1
002_U_37,107_U_25,5
002_U_37,107_U_26,6
002_U_38,001_D_04,3
002_U_38,001_U_23,1
002_U_38,002_U_09,2
002_U_38,002_U_13,1
002_U_38,002_U_28,1
002_U_38,002_U_32,1
002_U_38,002_U_36,1
002_U_38,002_U_37,1
002_U_38,011_U_07,1
002_U_38,012_U_13,1
002_U_38,017_U_16,1
002_U_38,017_U_19,1
002_U_38,017_U_28,2
002_U_38,023_U_33,3
002_U_38,029_U_19,4
002_U_38,030_U_25,1
002_U_38,030_U_30,2
002_U_38,030_U_33,2
002_U_38,036_U_17,1
002_U_38,036_U_28,1
002_U_38,101_U_22,1
002_U_38,102_U_07,1
002_U_38,102_U_12,3
002_U_38,107_U_11,3
002_U_38,107_U_13,1
002_U_38,107_U_26,1
002_U_39,001_D_05,1
002_U_39,002_U_14,1
002_U_39,002_U_35,1
002_U_39,002_U_38,6
002_U_39,002_U_42,1
002_U_39,017_U_24,1
002_U_39,023_U_33,3
002_U_39,030_U_30,2
002_U_39,030_U_33,1
002_U_39,030_U_34,1
002_U_39,102_U_08,2
002_U_39,102_U_12,1
002_U_41,001_U_17,1
002_U_41,001_U_20,1
002_U_41,002_U_14,1
002_U_41,002_U_38,1
002_U_41,002_U_40,1
002_U_41,018_U_13,1
002_U_41,018_U_19,1
002_U_41,029_U_16,1
002_U_43,001_D_04,13
002_U_43,001_D_05,1
002_U_43,001_U_17,1
002_U_43,002_U_01,1
002_U_43,002_U_26,2
002_U_43,002_U_31,1
002_U_43,002_U_35,1
002_U_43,002_U_36,1
002_U_43,002_U_38,1
002_U_43,002_U_40,1
002_U_43,005_U_07,1
002_U_43,005_U_11,1
002_U_43,005_U_25,1
002_U_43,005_U_58,2
002_U_43,005_U_71,3
002_U_43,006_U_36,1
002_U_43,006_U_38,1
002_U_43,007_U_07,2
002_U_43,007_U_15,4
002_U_43,007_U_16,3
002_U_43,007_U_17,6
002_U_43,007_U_18,1
002_U_43,007_U_19,2
002_U_43,010_U_31,1
002_U_43,031_U_29,1
003_D_05,002_U_38,3
003_D_05,003_U_01,6
003_D_05,003_U_05,2
003_D_05,003_U_06,1
003_D_05,012_U_13,1
003_D_05,016_U_10,1
003_D_05,017_U_19,3
003_D_05,023_U_25,1
003_D_05,036_U_17,1
003_D_05,107_U_11,1
003_D_05,107_U_12,1
003_D_05,107_U_40,1
003_U_01,001_U_21,1
003_U_01,003_U_02,1
003_U_01,003_U_03,2
003_U_01,003_U_04,28
003_U_01,003_U_05,2
003_U_01,003_U_06,3
003_U_01,003_U_07,8
003_U_01,005_U_10,1
003_U_01,005_U_12,1
003_U_01,005_U_21,1
003_U_01,005_U_23,1
003_U_01,005_U_25,7
003_U_01,005_U_27,1
003_U_01,005_U_67,1
003_U_01,009_U_42,1
003_U_01,009_U_44,1
003_U_01,009_U_47,2
003_U_01,012_U_13,2
003_U_01,018_U_01,2
003_U_01,026_U_08,1
003_U_01,037_U_06,1
003_U_01,037_U_20,1
003_U_02,003_U_01,2
003_U_02,003_U_04,2
003_U_02,003_U_06,2
003_U_03,001_U_29,1
003_U_03,002_U_36,3
003_U_03,002_U_38,1
003_U_03,003_U_04,1
003_U_03,003_U_05,1
003_U_03,003_U_06,4
003_U_03,003_U_07,3
003_U_03,009_U_33,1
003_U_03,012_U_13,2
003_U_03,017_U_19,2
003_U_03,107_U_38,1
003_U_04,003_D_05,1
003_U_04,003_U_01,32
003_U_04,003_U_02,2
003_U_04,003_U_05,1
003_U_04,003_U_06,2
003_U_04,003_U_07,2
003_U_04,009_U_44,1
003_U_05,001_D_04,1
003_U_05,001_U_34,2
003_U_05,002_U_30,1
003_U_05,002_U_38,2
003_U_05,003_D_05,2
003_U_05,003_U_03,2
003_U_05,003_U_06,1
003_U_05,005_U_64,2
003_U_05,006_U_31,1
003_U_05,006_U_35,1
003_U_05,006_U_44,1
003_U_05,007_U_15,2
003_U_05,009_U_03,1
003_U_05,009_U_32,1
003_U_05,009_U_35,1
003_U_05,009_U_36,1
003_U_05,009_U_39,1
003_U_05,009_U_42,1
003_U_05,009_U_43,1
003_U_05,009_U_44,4
003_U_05,009_U_45,3
003_U_05,009_U_46,1
003_U_05,010_D_29,1
003_U_05,010_U_28,1
003_U_05,012_U_13,2
003_U_05,016_U_07,1
003_U_05,016_U_10,1
003_U_05,017_U_29,1
003_U_05,026_U_45,1
003_U_05,028_U_04,1
003_U_05,028_U_07,4
003_U_05,032_U_16,1
003_U_05,033_U_18,1
003_U_05,033_U_19,1
003_U_05,107_U_12,1
003_U_05,107_U_13,1
003_U_05,107_U_25,1
003_U_06,001_D_04,2
003_U_06,001_D_05,2
003_U_06,001_U_27,1
003_U_06,002_U_31,1
003_U_06,002_U_32,2
003_U_06,002_U_36,2
003_U_06,003_D_05,4
003_U_06,003_U_01,2
003_U_06,003_U_02,1
003_U_06,003_U_05,1
003_U_06,004_U_32,3
003_U_06,009_U_28,2
003_U_06,009_U_38,3
003_U_06,009_U_42,1
003_U_06,009_U_44,3
003_U_06,009_U_45,1
003_U_06,016_U_01,1
003_U_06,016_U_04,1
003_U_06,016_U_10,1
003_U_06,017_U_16,1
003_U_06,017_U_37,1
003_U_06,023_U_24,1
003_U_06,023_U_33,3
003_U_06,029_U_19,1
003_U_06,032_U_21,1
003_U_06,033_U_19,3
003_U_06,036_U_28,2
003_U_06,036_U_31,4
003_U_06,101_U_22,2
003_U_06,101_U_25,1
003_U_06,102_U_08,1
003_U_06,106_U_05,1
003_U_06,106_U_09,1
003_U_06,107_U_40,1
003_U_06,111_U_35,1
003_U_06,112_U_05,1
003_U_06,112_U_19,1
003_U_07,001_D_02,3
003_U_07,001_D_03,4
003_U_07,001_D_04,3
003_U_07,001_D_05,13
003_U_07,001_D_06,8
003_U_07,001_U_20,1
003_U_07,001_U_25,1
003_U_07,001_U_27,1
003_U_07,001_U_29,2
003_U_07,002_U_29,1
003_U_07,002_U_30,6
003_U_07,002_U_31,4
003_U_07,002_U_32,2
003_U_07,002_U_33,2
003_U_07,002_U_34,3
003_U_07,002_U_35,1
003_U_07,002_U_36,2
003_U_07,002_U_38,4
003_U_07,003_D_05,2
003_U_07,003_U_01,7
003_U_07,003_U_03,1
003_U_07,003_U_04,1
003_U_07,003_U_05,1
003_U_07,003_U_06,3
003_U_07,004_U_12,1
003_U_07,004_U_32,4
003_U_07,005_U_64,1
003_U_07,006_U_29,1
003_U_07,006_U_30,1
003_U_07,006_U_32,4
003_U_07,006_U_34,1
003_U_07,006_U_35,5
003_U_07,006_U_44,1
003_U_07,009_U_28,1
003_U_07,009_U_29,1
003_U_07,009_U_31,1
003_U_07,009_U_33,1
003_U_07,009_U_35,1
003_U_07,009_U_36,2
003_U_07,009_U_38,1
003_U_07,009_U_39,1
003_U_07,009_U_41,2
003_U_07,009_U_42,1
003_U_07,009_U_43,1
003_U_07,009_U_44,1
003_U_07,009_U_45,2
003_U_07,009_U_46,3
003_U_07,009_U_47,2
003_U_07,012_U_13,6
003_U_07,016_U_04,1
003_U_07,016_U_05,1
003_U_07,016_U_06,1
003_U_07,016_U_07,2
003_U_07,016_U_10,26
003_U_07,017_U_16,3
003_U_07,017_U_17,1
003_U_07,017_U_20,1
003_U_07,017_U_22,1
003_U_07,017_U_26,1
003_U_07,017_U_28,1
003_U_07,017_U_29,1
003_U_07,017_U_37,5
003_U_07,018_U_01,1
003_U_07,022_U_42,6
003_U_07,023_U_25,1
003_U_07,023_U_33,6
003_U_07,023_U_34,2
003_U_07,025_U_25,6
003_U_07,025_U_27,3
003_U_07,025_U_29,9
003_U_07,025_U_30,5
003_U_07,025_U_31,1
003_U_07,026_U_45,2
003_U_07,029_U_19,3
003_U_07,029_U_31,7
003_U_07,030_U_26,1
003_U_07,030_U_32,3
003_U_07,030_U_34,4
003_U_07,030_U_35,1
003_U_07,030_U_38,1
003_U_07,030_U_40,1
003_U_07,030_U_41,3
003_U_07,030_U_45,2
003_U_07,031_U_18,5
003_U_07,032_U_16,5
003_U_07,033_U_19,12
003_U_07,036_U_28,3
003_U_07,101_U_22,11
003_U_07,101_U_23,1
003_U_07,101_U_25,5
003_U_07,102_U_07,1
003_U_07,102_U_08,3
003_U_07,102_U_09,2
003_U_07,102_U_17,2
003_U_07,102_U_28,1
003_U_07,103_U_07,1
003_U_07,103_U_08,3
003_U_07,105_U_07,3
003_U_07,105_U_08,3
003_U_07,105_U_21,1
003_U_07,105_U_23,4
003_U_07,105_U_29,1
003_U_07,105_U_30,1
003_U_07,105_U_35,3
003_U_07,106_U_05,1
003_U_07,106_U_08,1
003_U_07,106_U_09,4
003_U_07,106_U_10,9
003_U_07,106_U_15,2
003_U_07,106_U_27,1
003_U_07,107_U_11,1
003_U_07,107_U_13,2
003_U_07,107_U_25,3
003_U_07,107_U_26,6
003_U_07,107_U_40,1
003_U_07,108_U_03,1
003_U_07,112_U_19,1
004_U_01,001_D_06,1
004_U_03,004_U_12,1
004_U_04,004_U_12,2
004_U_04,004_U_14,2
004_U_04,004_U_17,3
004_U_04,004_U_32,1
004_U_05,001_D_05,1
004_U_05,001_U_30,1
004_U_05,004_U_17,1
004_U_05,004_U_19,2
004_U_05,004_U_32,1
004_U_06,001_D_07,1
004_U_06,001_U_27,1
004_U_07,001_D_06,1
004_U_07,004_U_15,1
004_U_12,001_D_05,2
004_U_12,001_D_06,7
004_U_12,001_U_25,2
004_U_12,002_U_29,3
004_U_12,003_U_05,1
004_U_12,004_U_13,1
004_U_12,004_U_16,1
004_U_12,004_U_19,3
004_U_12,004_U_27,3
004_U_12,006_U_38,6
004_U_12,007_U_08,2
004_U_12,007_U_15,1
004_U_12,012_U_07,1
004_U_12,012_U_12,3
004_U_12,012_U_32,3
004_U_12,017_U_25,2
004_U_12,017_U_37,1
004_U_12,031_U_17,1
004_U_12,105_U_29,2
004_U_12,105_U_36,1
004_U_13,001_D_04,1
004_U_13,001_D_05,5
004_U_13,001_D_06,21
004_U_13,001_U_25,2
004_U_13,001_U_28,1
004_U_13,001_U_29,2
004_U_13,004_U_12,2
004_U_13,004_U_14,12
004_U_13,004_U_16,1
004_U_13,004_U_17,1
004_U_13,004_U_19,12
004_U_13,004_U_27,7
004_U_13,004_U_28,1
004_U_13,004_U_31,2
004_U_13,004_U_32,1
004_U_13,006_U_38,5
004_U_13,007_U_07,1
004_U_13,007_U_08,1
004_U_13,007_U_09,1
004_U_13,007_U_15,4
004_U_13,009_U_43,3
004_U_13,009_U_45,1
004_U_13,011_U_16,2
004_U_13,012_U_07,5
004_U_13,018_U_35,1
004_U_13,029_U_31,1
004_U_13,105_U_14,1
004_U_13,105_U_23,1
004_U_14,001_D_04,1
004_U_14,001_D_05,1
004_U_14,001_D_06,3
004_U_14,001_U_25,1
004_U_14,002_U_28,1
004_U_14,003_U_07,1
004_U_14,004_U_12,1
004_U_14,004_U_19,2
004_U_14,006_U_38,1
004_U_14,009_U_44,1
004_U_14,011_U_05,2
004_U_14,012_U_07,2
004_U_14,012_U_32,2
004_U_14,017_U_23,1
004_U_14,017_U_37,4
004_U_14,029_U_31,1
004_U_14,105_U_08,1
004_U_15,001_D_06,4
004_U_15,004_U_19,3
004_U_15,006_U_38,1
004_U_15,007_U_07,1
004_U_15,007_U_15,6
004_U_15,009_U_41,2
004_U_15,009_U_43,2
004_U_15,009_U_44,1
004_U_15,009_U_45,1
004_U_15,011_U_16,1
004_U_15,012_U_12,1
004_U_15,012_U_32,1
004_U_16,001_D_05,1
004_U_16,001_D_06,1
004_U_16,004_U_12,3
004_U_16,004_U_27,2
004_U_16,006_U_38,2
004_U_16,007_U_08,2
004_U_16,007_U_15,2
004_U_16,009_U_43,1
004_U_16,012_U_12,8
004_U_16,012_U_13,2
004_U_16,012_U_32,1
004_U_18,001_D_05,1
004_U_18,002_U_30,1
004_U_18,004_U_05,3
004_U_18,004_U_12,7
004_U_18,004_U_13,1
004_U_18,004_U_14,4
004_U_18,004_U_15,2
004_U_18,007_U_15,1
004_U_18,011_U_10,1
004_U_18,011_U_16,1
004_U_18,012_U_12,2
004_U_18,013_U_20,1
004_U_18,030_U_33,1
004_U_18,032_U_29,2
004_U_19,001_D_04,2
004_U_19,001_D_05,2
004_U_19,001_D_06,5
004_U_19,001_U_25,2
004_U_19,004_U_27,2
004_U_19,006_U_38,6
004_U_19,007_U_08,1
004_U_19,007_U_15,1
004_U_19,009_U_40,1
004_U_19,009_U_44,3
004_U_19,009_U_45,1
004_U_19,011_U_16,2
004_U_19,012_U_32,1
004_U_27,001_D_05,9
004_U_27,001_D_06,16
004_U_27,001_U_25,1
004_U_27,001_U_26,4
004_U_27,002_U_26,2
004_U_27,004_U_12,3
004_U_27,004_U_13,3
004_U_27,004_U_14,7
004_U_27,004_U_18,1
004_U_27,005_U_58,2
004_U_27,006_U_01,1
004_U_27,006_U_08,1
004_U_27,006_U_23,1
004_U_27,006_U_31,1
004_U_27,006_U_35,1
004_U_27,006_U_36,1
004_U_27,006_U_38,3
004_U_27,007_U_01,2
004_U_27,007_U_07,1
004_U_27,007_U_09,4
004_U_27,007_U_15,17
004_U_27,007_U_16,4
004_U_27,007_U_19,3
004_U_27,011_U_16,4
004_U_27,012_U_07,2
004_U_27,012_U_32,1
004_U_27,018_U_01,1
004_U_31,001_D_04,3
004_U_31,001_D_05,8
004_U_31,001_D_06,1
004_U_31,001_U_30,1
004_U_31,002_U_27,1
004_U_31,002_U_28,1
004_U_31,002_U_38,2
004_U_31,003_U_06,1
004_U_31,004_U_32,4
004_U_31,005_U_64,1
004_U_31,006_U_22,1
004_U_31,006_U_29,1
004_U_31,006_U_31,3
004_U_31,006_U_41,1
004_U_31,006_U_44,2
004_U_31,007_U_15,6
004_U_31,011_U_01,1
004_U_31,011_U_05,3
004_U_31,011_U_07,1
004_U_31,011_U_32,2
004_U_31,011_U_34,2
004_U_31,016_U_10,1
004_U_31,017_U_18,1
004_U_31,017_U_28,1
004_U_31,018_U_18,1
004_U_31,022_U_40,3
004_U_31,023_U_34,2
004_U_31,030_U_30,1
004_U_31,030_U_45,5
004_U_31,036_U_28,1
004_U_31,036_U_29,1
004_U_31,102_U_12,1
004_U_31,102_U_17,1
004_U_31,102_U_28,1
004_U_31,103_U_08,1
004_U_32,001_D_04,1
004_U_32,001_D_05,3
004_U_32,001_D_06,2
004_U_32,001_U_28,1
004_U_32,001_U_33,2
004_U_32,001_U_34,6
004_U_32,003_U_07,1
004_U_32,004_U_31,14
004_U_32,005_U_61,1
004_U_32,006_U_29,1
004_U_32,006_U_44,2
004_U_32,009_U_29,1
004_U_32,009_U_39,1
004_U_32,009_U_41,1
004_U_32,009_U_45,1
004_U_32,011_U_01,3
004_U_32,011_U_15,2
004_U_32,011_U_16,1
004_U_32,011_U_33,1
004_U_32,011_U_35,1
004_U_32,017_U_17,1
004_U_32,017_U_18,1
004_U_32,017_U_27,1
004_U_32,017_U_28,3
004_U_32,018_U_01,1
004_U_32,022_U_40,2
004_U_32,024_U_11,1
004_U_32,024_U_16,1
004_U_32,024_U_17,1
004_U_32,026_U_46,2
004_U_32,026_U_48,1
004_U_32,030_U_01,1
004_U_32,030_U_26,1
004_U_32,030_U_40,5
004_U_32,032_U_16,2
004_U_32,103_U_09,1
005_U_01,001_U_22,1
005_U_01,005_U_58,3
005_U_01,005_U_64,1
005_U_02,001_U_20,1
005_U_02,001_U_23,1
005_U_02,003_U_01,1
005_U_02,005_U_24,3
005_U_02,005_U_63,1
005_U_02,005_U_64,1
005_U_04,001_U_22,1
005_U_04,005_U_19,2
005_U_04,005_U_64,2
005_U_04,005_U_69,1
005_U_05,001_U_25,2
005_U_05,003_U_01,1
005_U_05,005_U_24,1
005_U_05,005_U_58,2
005_U_05,005_U_64,1
005_U_06,002_U_43,1
005_U_06,005_U_19,1
005_U_06,005_U_24,1
005_U_06,005_U_59,2
005_U_06,005_U_66,1
005_U_07,001_U_22,1
005_U_07,001_U_25,2
005_U_07,005_U_19,1
005_U_07,005_U_24,2
005_U_07,005_U_58,1
005_U_07,005_U_62,1
005_U_07,005_U_64,1
005_U_08,001_U_25,2
005_U_08,005_U_11,1
005_U_08,005_U_64,1
005_U_09,005_U_24,1
005_U_10,001_U_22,2
005_U_10,001_U_24,1
005_U_10,001_U_25,2
005_U_10,003_U_01,1
005_U_10,005_U_24,1
005_U_10,005_U_58,2
005_U_10,005_U_62,2
005_U_11,001_U_20,2
005_U_11,002_U_43,1
005_U_11,005_U_10,1
005_U_11,005_U_58,1
005_U_11,005_U_66,1
005_U_12,003_U_01,1
005_U_12,005_U_22,1
005_U_12,005_U_61,1
005_U_13,001_U_25,1
005_U_13,003_U_01,1
005_U_13,005_U_24,1
005_U_13,005_U_64,1
005_U_14,001_U_25,2
005_U_14,001_U_27,1
005_U_14,005_U_58,2
005_U_14,005_U_64,4
005_U_16,001_U_20,1
005_U_16,001_U_27,1
005_U_16,003_U_01,1
005_U_17,001_U_24,2
005_U_18,005_U_61,1
005_U_19,001_U_20,1
005_U_19,005_U_09,1
005_U_20,001_U_20,2
005_U_20,001_U_24,2
005_U_20,001_U_25,1
005_U_20,003_U_01,2
005_U_20,005_U_06,2
005_U_20,005_U_07,1
005_U_20,005_U_24,2
005_U_20,005_U_61,1
005_U_20,015_U_06,1
005_U_21,001_U_20,2
005_U_21,001_U_24,1
005_U_21,001_U_25,1
005_U_21,001_U_27,1
005_U_21,003_U_01,1
005_U_21,005_U_24,3
005_U_22,001_U_20,1
005_U_22,001_U_25,1
005_U_22,003_U_01,1
005_U_22,005_U_64,1
005_U_23,001_U_25,2
005_U_23,005_U_12,1
005_U_23,005_U_64,1
005_U_24,001_D_06,2
005_U_24,001_U_23,1
005_U_24,001_U_25,1
005_U_24,001_U_27,1
005_U_24,005_U_59,1
005_U_24,006_U_07,1
005_U_24,006_U_16,1
005_U_24,006_U_21,1
005_U_24,006_U_22,3
005_U_24,006_U_23,3
005_U_24,006_U_26,1
005_U_24,006_U_32,4
005_U_24,006_U_41,1
005_U_24,006_U_44,1
005_U_25,001_U_15,1
005_U_25,001_U_18,1
005_U_25,001_U_19,1
005_U_25,001_U_20,2
005_U_25,001_U_23,2
005_U_25,001_U_24,1
005_U_25,001_U_25,5
005_U_25,001_U_27,2
005_U_25,001_U_31,1
005_U_25,002_U_43,1
005_U_25,003_U_01,7
005_U_25,005_U_58,2
005_U_25,005_U_59,2
005_U_25,005_U_64,1
005_U_26,001_U_25,1
005_U_26,003_U_01,1
005_U_26,005_U_64,1
005_U_36,001_U_01,1
005_U_42,001_U_20,1
005_U_42,008_U_01,1
005_U_58,001_D_05,3
005_U_58,001_D_06,1
005_U_58,001_U_21,1
005_U_58,001_U_26,2
005_U_58,002_U_43,1
005_U_58,005_U_03,3
005_U_58,005_U_06,2
005_U_58,005_U_09,1
005_U_58,005_U_10,2
005_U_58,005_U_11,1
005_U_58,005_U_14,1
005_U_58,005_U_25,1
005_U_58,005_U_57,1
005_U_58,006_U_38,4
005_U_58,007_U_01,2
005_U_58,007_U_07,1
005_U_58,007_U_08,1
005_U_58,007_U_15,2
005_U_58,007_U_16,2
005_U_59,001_U_26,1
005_U_59,005_U_07,1
005_U_59,005_U_25,3
005_U_59,005_U_67,1
005_U_60,001_U_34,2
005_U_60,003_U_07,1
005_U_60,005_U_07,1
005_U_60,005_U_64,1
005_U_60,018_U_19,2
005_U_60,024_U_23,1
005_U_61,001_U_34,1
005_U_61,004_U_32,2
005_U_61,005_U_12,1
005_U_61,005_U_18,1
005_U_61,005_U_20,1
005_U_61,005_U_21,1
005_U_61,005_U_65,1
005_U_61,018_U_19,4
005_U_61,024_U_13,1
005_U_62,005_U_10,2
005_U_63,005_U_09,1
005_U_63,005_U_67,1
005_U_64,001_D_05,5
005_U_64,001_U_22,1
005_U_64,001_U_34,4
005_U_64,002_U_28,2
005_U_64,002_U_29,2
005_U_64,003_U_05,1
005_U_64,003_U_07,2
005_U_64,004_U_32,4
005_U_64,005_U_03,1
005_U_64,005_U_04,1
005_U_64,005_U_09,1
005_U_64,005_U_14,3
005_U_64,006_U_22,1
005_U_64,006_U_29,1
005_U_64,006_U_31,4
005_U_64,006_U_33,1
005_U_64,006_U_44,1
005_U_64,007_U_15,2
005_U_64,009_U_47,5
005_U_64,017_U_27,3
005_U_64,017_U_30,3
005_U_64,022_U_42,1
005_U_64,024_U_04,9
005_U_64,024_U_13,3
005_U_64,024_U_17,1
005_U_64,026_U_06,1
005_U_64,026_U_45,4
005_U_64,026_U_47,1
005_U_64,026_U_48,2
005_U_64,029_U_04,1
005_U_64,031_U_17,1
005_U_64,033_U_05,1
005_U_64,033_U_18,1
005_U_64,033_U_19,22
005_U_64,036_U_11,1
005_U_64,103_U_09,4
005_U_64,103_U_31,1
005_U_65,001_U_24,1
005_U_65,005_U_06,3
005_U_65,005_U_10,1
005_U_65,005_U_14,1
005_U_65,005_U_23,1
005_U_65,005_U_24,1
005_U_65,005_U_25,1
005_U_65,005_U_27,1
005_U_65,005_U_60,1
005_U_65,005_U_64,2
005_U_65,024_U_16,1
005_U_65,026_U_51,1
005_U_66,002_U_28,1
005_U_66,005_U_07,1
005_U_66,005_U_65,1
005_U_66,024_U_15,2
005_U_66,024_U_23,1
005_U_66,026_U_05,1
005_U_67,005_U_60,1
005_U_67,005_U_63,1
005_U_67,022_U_16,1
005_U_69,003_U_01,1
005_U_69,005_U_21,1
005_U_69,035_U_07,2
005_U_70,005_U_06,1
005_U_70,005_U_69,1
005_U_71,001_D_04,6
005_U_71,001_U_21,1
005_U_71,001_U_26,1
005_U_71,005_U_64,2
005_U_71,007_U_09,1
005_U_71,007_U_15,1
006_U_01,001_D_06,1
006_U_01,005_U_24,1
006_U_01,006_U_10,1
006_U_01,006_U_22,9
006_U_01,006_U_23,1
006_U_01,006_U_26,2
006_U_01,006_U_27,1
006_U_01,006_U_28,2
006_U_01,006_U_29,2
006_U_01,006_U_30,6
006_U_01,006_U_31,1
006_U_01,006_U_32,2
006_U_01,006_U_36,2
006_U_01,006_U_38,1
006_U_02,001_D_06,3
006_U_02,005_U_24,2
006_U_02,006_U_22,2
006_U_02,006_U_26,1
006_U_02,006_U_27,1
006_U_02,006_U_28,3
006_U_02,006_U_31,1
006_U_02,006_U_32,1
006_U_05,001_U_34,1
006_U_05,004_U_27,1
006_U_05,006_U_23,1
006_U_06,004_U_27,1
006_U_06,006_U_23,1
006_U_07,001_D_06,1
006_U_07,004_U_27,1
006_U_07,005_U_25,1
006_U_07,006_U_16,2
006_U_07,006_U_22,1
006_U_08,001_D_06,2
006_U_08,004_U_27,1
006_U_08,006_U_26,1
006_U_08,006_U_28,1
006_U_08,006_U_30,1
